Prompt ID,Metric,p-value,Test Used,Corrected p-value,Significant
PSP3,rouge_2,0.42063512473367737,t-test,0.5369810102983116,False
PSP4,rouge_2,0.7334484290941079,t-test,0.8001255590117541,False
PSP5,rouge_2,0.08964941299891117,t-test,0.1745516906813077,False
PSP6,rouge_2,0.16832307664673257,t-test,0.272956340508215,False
PSP7,rouge_2,1.0,Wilcoxon,1.0,False
PSP8,rouge_2,0.9099418555599776,t-test,0.9398520447424427,False
PSP9,rouge_2,0.921875,Wilcoxon,0.9398520447424427,False
PSP10,rouge_2,0.0006241193622795135,t-test,0.007489432347354162,True
SSP1,rouge_L,0.9058501418480436,t-test,0.9703947368421053,False
SSP2,rouge_L,0.14297787764587222,t-test,0.2680835205860104,False
SSP3,rouge_L,0.921875,Wilcoxon,0.9703947368421053,False
SSP4,rouge_L,2.471761026990591e-05,t-test,0.001285721148011523,True
SSP5,rouge_L,0.8473493013331888,t-test,0.9243810559998423,False
SSP6,rouge_L,0.6104276519390947,t-test,0.7818543174309502,False
SSP7,rouge_L,0.5377602575863789,t-test,0.733309442163244,False
SSP8,rouge_L,0.030727748458480468,t-test,0.10810547675377641,False
SSP9,rouge_L,0.06916734441141364,t-test,0.1729183610285341,False
SSP10,rouge_L,0.22844647999630252,t-test,0.3704537513453554,False
CEP1,rouge_L,0.05573825502606573,t-test,0.1454041435462584,False
CEP2,rouge_L,0.6378112038465076,t-test,0.7818543174309502,False
CEP3,rouge_L,0.9762261617609176,t-test,0.9917715723074234,False
CEP4,rouge_L,0.048046747023602746,t-test,0.13103658279164387,False
CEP5,rouge_L,0.3117976573314391,t-test,0.4923120905233249,False
CEP6,rouge_L,0.035450632704718196,t-test,0.10810547675377641,False
CEP7,rouge_L,0.03603515891792547,t-test,0.10810547675377641,False
CEP8,rouge_L,0.009512223194582328,t-test,0.05707333916749397,False
CEP9,rouge_L,0.004506323477052391,t-test,0.030042156513682607,True
CEP10,rouge_L,0.41432163756834406,t-test,0.5998201019901697,False
CT1,rouge_L,0.7213211829327291,t-test,0.8322936726146873,False
CT2,rouge_L,0.1340241799978647,t-test,0.25940163870554456,False
CT3,rouge_L,0.556640625,Wilcoxon,0.7421875,False
CT4,rouge_L,0.11685007788976262,t-test,0.24175878184088817,False
CT5,rouge_L,0.11023720474472255,t-test,0.23622258159583404,False
CT6,rouge_L,0.6303948234042696,t-test,0.7818543174309502,False
CT7,rouge_L,0.638514359235276,t-test,0.7818543174309502,False
CT8,rouge_L,0.9917715723074234,t-test,0.9917715723074234,False
CT9,rouge_L,0.4198740713931187,t-test,0.5998201019901697,False
CT10,rouge_L,0.04320975066092882,t-test,0.12345643045979662,False
EXP1,rouge_L,0.01750063739894056,t-test,0.07840232620312179,False
EXP2,rouge_L,0.0001757368376445857,t-test,0.0021088420517350287,True
EXP3,rouge_L,0.018847795112749227,t-test,0.07840232620312179,False
EXP4,rouge_L,0.004328269389212386,t-test,0.030042156513682607,True
EXP5,rouge_L,0.035606213426174996,t-test,0.10810547675377641,False
EXP6,rouge_L,0.003586028341550826,t-test,0.030042156513682607,True
EXP7,rouge_L,0.0031974404473522604,t-test,0.030042156513682607,True
EXP8,rouge_L,0.00016513299482571534,t-test,0.0021088420517350287,True
EXP9,rouge_L,0.01717056737107996,t-test,0.07840232620312179,False
EXP10,rouge_L,0.07769323758469805,t-test,0.18646377020327531,False
POP1,rouge_L,0.18925635982944214,t-test,0.32443947399332934,False
POP2,rouge_L,0.431640625,Wilcoxon,0.6022892441860465,False
POP3,rouge_L,0.019600581550780448,t-test,0.07840232620312179,False
POP4,rouge_L,0.3830523162365489,t-test,0.5893112557485367,False
POP5,rouge_L,0.08828383310741467,t-test,0.2037319225555723,False
POP6,rouge_L,0.0001670618764201023,t-test,0.0021088420517350287,True
POP7,rouge_L,0.661913438955679,t-test,0.7942961267468147,False
POP8,rouge_L,0.806964185740455,t-test,0.89662687304495,False
POP9,rouge_L,0.10153217767645062,t-test,0.2256270615032236,False
POP10,rouge_L,0.19847079053394717,t-test,0.330784650889912,False
PSP1,rouge_L,0.76953125,Wilcoxon,0.8711674528301887,False
PSP2,rouge_L,0.02734375,Wilcoxon,0.1025390625,False
PSP3,rouge_L,0.1217105915625939,t-test,0.2434211831251878,False
PSP4,rouge_L,0.18440922679132532,t-test,0.32443947399332934,False
PSP5,rouge_L,0.4065365257967377,t-test,0.5998201019901697,False
PSP6,rouge_L,0.9391324509456631,t-test,0.9715163285644791,False
PSP7,rouge_L,0.7185191552411484,t-test,0.8322936726146873,False
PSP8,rouge_L,0.012021106651256677,t-test,0.06556967264321824,False
PSP9,rouge_L,0.1610025216987192,t-test,0.29273185763403486,False
PSP10,rouge_L,4.28573716003841e-05,t-test,0.001285721148011523,True
SSP1,context_similarity,0.39056808147052247,t-test,0.6008739714931115,False
SSP2,context_similarity,1.0,Wilcoxon,1.0,False
SSP3,context_similarity,0.25629292660247727,t-test,0.5125858532049545,False
SSP4,context_similarity,0.026671486778788233,t-test,0.1640625,False
SSP5,context_similarity,0.16676057964718966,t-test,0.37057906588264367,False
SSP6,context_similarity,0.006115006154273432,t-test,0.07338007385128119,False
SSP7,context_similarity,1.0,Wilcoxon,1.0,False
SSP8,context_similarity,0.16015625,Wilcoxon,0.36959134615384615,False
SSP9,context_similarity,0.18988853844668208,t-test,0.4069040109571759,False
SSP10,context_similarity,0.13702320324589112,t-test,0.3425580081147278,False
CEP1,context_similarity,0.038916845115382126,t-test,0.21188447562474505,False
CEP2,context_similarity,0.4962798541852098,t-test,0.6767452557071043,False
CEP3,context_similarity,0.26823535429305245,t-test,0.5191652018575208,False
CEP4,context_similarity,0.32538969301670206,t-test,0.5423161550278368,False
CEP5,context_similarity,0.0008436193790013818,t-test,0.02591136885324736,True
CEP6,context_similarity,0.08315898718097861,t-test,0.2799479166666667,False
CEP7,context_similarity,0.13282911564543076,t-test,0.3425580081147278,False
CEP8,context_similarity,0.8899700831937354,t-test,0.9535393748504307,False
CEP9,context_similarity,0.15430806771017835,t-test,0.36959134615384615,False
CEP10,context_similarity,0.0008637122951082452,t-test,0.02591136885324736,True
CT1,context_similarity,0.843697815212599,t-test,0.9521102219888221,False
CT2,context_similarity,0.05113921085454756,t-test,0.21188447562474505,False
CT3,context_similarity,0.8635946247180317,t-test,0.9521102219888221,False
CT4,context_similarity,0.845703125,Wilcoxon,0.9521102219888221,False
CT5,context_similarity,0.02734375,Wilcoxon,0.1640625,False
CT6,context_similarity,0.4750974786730079,t-test,0.6629267144274529,False
CT7,context_similarity,0.016984485484432273,t-test,0.14558130415227663,False
CT8,context_similarity,0.420418533038561,t-test,0.6166294642857143,False
CT9,context_similarity,0.09857753997496344,t-test,0.3112974946577793,False
CT10,context_similarity,0.3361971388890988,t-test,0.5451845495498899,False
EXP1,context_similarity,0.049040141737281204,t-test,0.21188447562474505,False
EXP2,context_similarity,0.7412277859702195,t-test,0.9076258603716975,False
EXP3,context_similarity,0.045484826271853636,t-test,0.21188447562474505,False
EXP4,context_similarity,0.556640625,Wilcoxon,0.7260529891304347,False
EXP5,context_similarity,0.0023232731398462538,t-test,0.046465462796925074,True
EXP6,context_similarity,0.3894574047957836,t-test,0.6008739714931115,False
EXP7,context_similarity,0.010674345746647872,t-test,0.10674345746647872,False
EXP8,context_similarity,0.053087635436485626,t-test,0.21188447562474505,False
EXP9,context_similarity,0.713366335046457,t-test,0.8917079188080712,False
EXP10,context_similarity,0.11163763955407321,t-test,0.33491291866221967,False
POP1,context_similarity,0.12955096121782264,t-test,0.3425580081147278,False
POP2,context_similarity,0.025742584360115776,t-test,0.1640625,False
POP3,context_similarity,0.8087528315502285,t-test,0.9521102219888221,False
POP4,context_similarity,0.083984375,Wilcoxon,0.2799479166666667,False
POP5,context_similarity,0.8727677034897535,t-test,0.9521102219888221,False
POP6,context_similarity,0.8520400944222071,t-test,0.9521102219888221,False
POP7,context_similarity,0.2111906643342926,t-test,0.4369462020709502,False
POP8,context_similarity,0.130859375,Wilcoxon,0.3425580081147278,False
POP9,context_similarity,1.0,Wilcoxon,1.0,False
POP10,context_similarity,0.431640625,Wilcoxon,0.6166294642857143,False
PSP1,context_similarity,0.625,Wilcoxon,0.7978723404255319,False
PSP2,context_similarity,0.005521055873309421,t-test,0.07338007385128119,False
PSP3,context_similarity,0.431640625,Wilcoxon,0.6166294642857143,False
PSP4,context_similarity,0.94032380227725,t-test,0.9898145287128948,False
PSP5,context_similarity,0.5187556164524681,t-test,0.6916741552699576,False
PSP6,context_similarity,0.3068233577775787,t-test,0.5259828990472777,False
PSP7,context_similarity,0.29916585566015785,t-test,0.5259828990472777,False
PSP8,context_similarity,0.3022451645167109,t-test,0.5259828990472777,False
PSP9,context_similarity,0.2814406573728278,t-test,0.5259828990472777,False
PSP10,context_similarity,0.05650252683326534,t-test,0.21188447562474505,False
